i_on_A_m,i_off_nA_um,v_dd_V,c_gs,t_crit_s,clk_freq_GHz,p_leak_total_W,energy_cycle_par_total_pJ,energy_cycle_wire_total_pJ,energy_cycle_load_total_pJ,energy_dyn_cycle_total_pJ,energy_leak_total_pJ,energy_cycle_total_pJ,edp_Js,edp_pJns
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
600.0,400.0,4.0,1.0,9.16371201096484e-09,0.10912608327318121,0.013155057863111113,9.23606820864,18.58373173561905,9.115978540032003,36.935778484291056,120.54916174512879,157.48494022941983,1.4431466383264143e-18,1443.1466383264144
600.0,400.0,3.0,1.0,6.891562776743349e-09,0.14510496855294644,0.009866293397333335,5.19528836736,10.453349101285715,5.127737928768,20.776375397413712,67.99418032149109,88.7705557189048,6.117678574632258e-19,611.7678574632258
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
600.0,400.0,4.0,1.0,9.16371201096484e-09,0.10912608327318121,0.013155057863111113,9.23606820864,18.58373173561905,9.115978540032003,36.935778484291056,120.54916174512879,157.48494022941983,1.4431466383264143e-18,1443.1466383264144
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
600.0,400.0,1.8,1.83,6.073717289119846e-09,0.16464381735240627,0.005919776038400001,3.422655976416768,3.763205676462857,3.378153747472359,10.564015400351982,35.955046072147475,46.51906147249946,2.8254362793914885e-19,282.54362793914885
1230.0,800.0,1.8,1.83,3.0123234547243098e-09,0.3319696622989382,0.011839552076800002,3.422655976416768,3.763205676462857,3.378153747472359,10.564015400351982,35.664560414374556,46.22857581472654,1.3925542320520173e-19,139.25542320520174
400.0,600.0,1.8,1.0,6.209918006476902e-09,0.16103272200325458,0.0088796640576,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,55.14198572275599,62.62148086582493,3.88874261620935e-19,388.874261620935
400.0,600.0,1.8,1.0,6.209918006476902e-09,0.16103272200325458,0.0088796640576,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,55.14198572275599,62.62148086582493,3.88874261620935e-19,388.874261620935
400.0,600.0,1.8,1.0,6.209918006476902e-09,0.16103272200325458,0.0088796640576,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,55.14198572275599,62.62148086582493,3.88874261620935e-19,388.874261620935
400.0,600.0,1.8,1.0,6.209918006476902e-09,0.16103272200325458,0.0088796640576,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,55.14198572275599,62.62148086582493,3.88874261620935e-19,388.874261620935
400.0,600.0,1.8,1.0,6.209918006476902e-09,0.16103272200325458,0.0088796640576,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,55.14198572275599,62.62148086582493,3.88874261620935e-19,388.874261620935
400.0,600.0,1.8,1.0,6.209918006476902e-09,0.16103272200325458,0.0088796640576,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,55.14198572275599,62.62148086582493,3.88874261620935e-19,388.874261620935
400.0,600.0,1.8,1.0,6.209918006476902e-09,0.16103272200325458,0.0088796640576,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,55.14198572275599,62.62148086582493,3.88874261620935e-19,388.874261620935
400.0,600.0,1.8,1.0,6.209918006476902e-09,0.16103272200325458,0.0088796640576,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,55.14198572275599,62.62148086582493,3.88874261620935e-19,388.874261620935
400.0,600.0,1.8,1.0,6.209918006476902e-09,0.16103272200325458,0.0088796640576,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,55.14198572275599,62.62148086582493,3.88874261620935e-19,388.874261620935
400.0,600.0,1.8,1.0,6.209918006476902e-09,0.16103272200325458,0.0088796640576,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,55.14198572275599,62.62148086582493,3.88874261620935e-19,388.874261620935
400.0,600.0,1.8,2.0,9.646427389185469e-09,0.1036653218497339,0.0088796640576,3.740607624499202,3.763205676462857,3.69197130871296,11.195784609675018,85.65703457199842,96.85281918167342,9.342836876739223e-19,934.2836876739223
400.0,600.0,1.8,2.0,9.646427389185469e-09,0.1036653218497339,0.0088796640576,3.740607624499202,3.763205676462857,3.69197130871296,11.195784609675018,85.65703457199842,96.85281918167342,9.342836876739223e-19,934.2836876739223
400.0,600.0,1.8,2.0,9.646427389185469e-09,0.1036653218497339,0.0088796640576,3.740607624499202,3.763205676462857,3.69197130871296,11.195784609675018,85.65703457199842,96.85281918167342,9.342836876739223e-19,934.2836876739223
400.0,600.0,1.8,2.0,9.646427389185469e-09,0.1036653218497339,0.0088796640576,3.740607624499202,3.763205676462857,3.69197130871296,11.195784609675018,85.65703457199842,96.85281918167342,9.342836876739223e-19,934.2836876739223
400.0,600.0,1.8,1.0,6.209918006476902e-09,0.16103272200325458,0.0088796640576,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,55.14198572275599,62.62148086582493,3.88874261620935e-19,388.874261620935
1230.0,800.0,1.8,1.83,3.0123234547243098e-09,0.3319696622989382,0.011839552076800002,3.422655976416768,3.763205676462857,3.378153747472359,10.564015400351982,35.664560414374556,46.22857581472654,1.3925542320520173e-19,139.25542320520174
217.58,156.0,1.8,1.83,1.657894304869403e-08,0.060317476033478076,0.002308712654976,3.422655976416768,3.763205676462857,3.378153747472359,10.564015400351982,38.2760156226463,48.840031022998275,8.097160928267381e-19,809.7160928267381
400.0,600.0,1.8,1.0,6.209918006476902e-09,0.16103272200325458,0.0088796640576,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,55.14198572275599,62.62148086582493,3.88874261620935e-19,388.874261620935
3.75,0.000351,1.8,1.83,9.56417831880763e-07,0.0010455681258404962,5.194603473696001e-09,3.422655976416768,3.763205676462857,3.378153747472359,10.564015400351982,0.004968211391792609,10.568983611743775,1.0108364391127296e-17,10108.364391127297
3.75,0.000351,1.8,2.0,1.0182658262779337e-06,0.0009820618292330394,5.194603473696001e-09,3.740607624499202,3.763205676462857,3.69197130871296,11.195784609675018,0.0052894871983292825,11.201074096873349,1.14056709704531e-17,11405.6709704531
3.75,0.000351,1.8,0.1,3.2702353595661004e-07,0.003057883883111953,5.194603473696001e-09,0.18703038122496007,3.763205676462857,0.18459856543564804,4.134834623123465,0.0016987575958605555,4.136533380719325,1.3527437727653842e-18,1352.7437727653842
3.75,0.000351,1.8,1.83,9.56417831880763e-07,0.0010455681258404962,5.194603473696001e-09,3.422655976416768,3.763205676462857,3.378153747472359,10.564015400351982,0.004968211391792609,10.568983611743775,1.0108364391127296e-17,10108.364391127297
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
600.0,400.0,1.8,1.83,6.073717289119846e-09,0.16464381735240627,0.005919776038400001,3.422655976416768,3.763205676462857,3.378153747472359,10.564015400351982,35.955046072147475,46.51906147249946,2.8254362793914885e-19,282.54362793914885
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
1.0,1.517e-07,1.8,1.0,2.4539962880332903e-06,0.00040749857890022784,2.2450750625631997e-12,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,5.509405869886199e-06,7.479500652474808,1.8354666837515755e-17,18354.666837515757
43.6,3.0,1.8,1.0,5.6357710784152524e-08,0.01774380091182118,4.4398320288000004e-05,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,2.5021876940932755,9.981682837162213,5.62544794475927e-19,562.544794475927
43.6,3.0,1.8,1.0,5.6357710784152524e-08,0.01774380091182118,4.4398320288000004e-05,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,2.5021876940932755,9.981682837162213,5.62544794475927e-19,562.544794475927
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
200.0,461.1,1.8,0.5847457627118645,9.501474990916863e-09,0.10524681704219306,0.0068240218282656015,1.0936522291968005,3.763205676462857,1.0794322894118407,5.936290195071498,64.83827273873638,70.77456293380789,6.724627397086471e-19,672.4627397086471
377.0,400.0,1.8,0.7231638418079096,5.575239253349648e-09,0.1793644998103341,0.005919776038400001,1.3525360902144,3.763205676462857,1.3349500777267205,6.450691844403978,33.00416774032635,39.454859584730336,2.1997028189218714e-19,219.97028189218713
600.0,400.0,1.8,1.0,4.164983695677558e-09,0.24009697829977228,0.005919776038400001,1.870303812249601,3.763205676462857,1.84598565435648,7.479495143068938,24.65577068199869,32.13526582506762,1.3384285821767089e-19,133.84285821767088
260.0,88.9,1.5,0.8083441981747066,7.097259964824944e-09,0.14089944639989882,0.0010963918537786669,1.0498953023999997,2.613337275321429,1.03624430112,4.699476878841428,7.781378009583535,12.480854888424963,8.857987172640819e-20,88.57987172640819
517.0,88.9,2.0,0.8083441981747066,4.782067074897972e-09,0.20911459089505463,0.0014618558050382225,1.8664805375999995,4.645932933904763,1.8422120908799997,8.354625562384761,6.990692513521752,15.345318075906516,7.338234032462925e-20,73.38234032462924
517.0,937.0,2.0,0.8083441981747066,4.782067074897972e-09,0.20911459089505463,0.015407861522168888,1.8664805375999995,4.645932933904763,1.8422120908799997,8.354625562384761,73.68142727975119,82.03605284213594,3.9230190725096854e-19,392.3019072509685
268.0,88.9,1.5,0.8083441981747066,6.887494846836993e-09,0.1451906712437308,0.0010963918537786669,1.0498953023999997,2.613337275321429,1.03624430112,4.699476878841428,7.551393243014626,12.250870121856055,8.437780483355286e-20,84.37780483355286
268.0,88.9,1.5,0.8083441981747066,6.887494846836993e-09,0.1451906712437308,0.0010963918537786669,1.0498953023999997,2.613337275321429,1.03624430112,4.699476878841428,7.551393243014626,12.250870121856055,8.437780483355286e-20,84.37780483355286
128.0,0.0135,1.5,0.8002731731545291,1.4272096575851079e-08,0.07006679044563342,1.6649370108000005e-07,1.0394124768000004,2.613337275321429,1.0258977758400003,4.678647527961429,0.002376214181084642,4.681023742142513,6.680802292170977e-20,66.80802292170976
300.0,0.0357,2.0,0.8002731731545291,8.149379813013395e-09,0.1227087242152026,5.870444571413333e-07,1.8478444032000008,4.645932933904763,1.8238182681600004,8.317595605264763,0.0047840482483689885,8.322379653513133,6.782223274457334e-20,67.82223274457333
663.0,0.1627,2.0,0.8002731731545291,3.7257833572206045e-09,0.26839993207387924,2.675409892910223e-06,1.8478444032000008,4.645932933904763,1.8238182681600004,8.317595605264763,0.009967997652748268,8.327563602917513,3.102669787794612e-20,31.02669787794612
739.0,0.2125,2.0,0.8002731731545291,3.3498080827931877e-09,0.2985245647763095,3.4943122448888896e-06,1.8478444032000008,4.645932933904763,1.8238182681600004,8.317595605264763,0.01170527540173201,8.329300880666496,2.7901559414073044e-20,27.901559414073045
739.0,0.2125,3.3,0.8002731731545291,5.48173630008918e-09,0.18242395205762293,5.765615204066667e-06,5.030756387712003,12.648552412555713,4.9653452350656,22.644654035333314,0.03160558215647834,22.67625961748979,1.2430527549544019e-19,124.30527549544017
739.0,0.2125,3.0,0.8002731731545291,4.989752865328566e-09,0.20041072714212507,5.241468367333335e-06,4.1576499072000015,10.453349101285715,4.103591103360001,18.714590111845716,0.026153631804430554,18.740743743650146,9.351167979326672e-20,93.51167979326672
742.0,0.151,3.0,0.8002731731545291,4.969861351793771e-09,0.20121285670053354,3.7245257574933343e-06,4.1576499072000015,10.453349101285715,4.103591103360001,18.714590111845716,0.018510376615926544,18.733100488461645,9.310091211687454e-20,93.10091211687454
742.0,0.151,3.0,0.8002731731545291,4.969861351793771e-09,0.20121285670053354,3.7245257574933343e-06,4.1576499072000015,10.453349101285715,4.103591103360001,18.714590111845716,0.018510376615926544,18.733100488461645,9.310091211687454e-20,93.10091211687454
655.0,0.11697999999999999,3.0,0.8002731731545291,5.620693453418515e-09,0.17791399020200938,2.8853975040501335e-06,4.1576499072000015,10.453349101285715,4.103591103360001,18.714590111845716,0.01621793486152471,18.730808046707242,1.0528013016536624e-19,105.28013016536624
686.0,0.1627,3.0,0.8002731731545291,5.369856685187349e-09,0.1862247092661675,4.0131148393653345e-06,4.1576499072000015,10.453349101285715,4.103591103360001,18.714590111845716,0.021549851548590494,18.736139963394308,1.0061038643703878e-19,100.61038643703878
686.0,0.1627,3.0,1.0,6.037022685738764e-09,0.1656445655508793,4.0131148393653345e-06,5.19528836736,10.453349101285715,5.127737928768,20.776375397413712,0.024227265325723397,20.800602662739436,1.255737101519961e-19,125.57371015199611
668.0,0.136681,3.0,0.7929358776816403,5.4875046532283405e-09,0.18223219171425986,3.371337119602294e-06,4.119530541381818,10.453349101285715,4.065967375069091,18.638847017736623,0.01850022813141902,18.657347245868042,1.0238227982859783e-19,102.38227982859783
606.0,0.136681,3.0,0.7473035439137135,5.869402743116215e-09,0.17037508648947722,3.371337119602294e-06,3.8824574085818186,10.453349101285715,3.831976726429091,18.167783236296625,0.019787735337763224,18.187570971634386,1.0675017895153172e-19,106.75017895153172
668.0,0.136681,3.0,0.7473035439137135,5.330999346140882e-09,0.1875820901617445,3.371337119602294e-06,3.8824574085818186,10.453349101285715,3.831976726429091,18.167783236296625,0.017972595980220316,18.185755832276847,9.69482524509456e-20,96.9482524509456
668.0,0.136681,3.0,0.73,5.271653346707901e-09,0.1896938084186607,3.371337119602294e-06,3.7925605081727993,10.453349101285715,3.7432486880006413,17.989158297459156,0.017772520609432005,18.006930818068586,9.492629711100891e-20,94.9262971110089
668.0,0.136681,3.0,0.6,4.8257920847167475e-09,0.20721986825064295,3.371337119602294e-06,3.117173020416,10.453349101285715,3.0766427572608,16.647164878962514,0.016269371986688506,16.6634342509492,8.041426911242859e-20,80.4142691124286
880.0000000000001,0.0948,3.0,0.7929358776816403,4.182312911869573e-09,0.23910214780007483,2.3383115351680002e-06,4.119530541381818,10.453349101285715,4.065967375069091,18.638847017736623,0.009779550525506692,18.64862656826213,7.799439168507667e-20,77.99439168507668
662.0000000000001,0.11399999999999999,3.0,0.7800956106040852,5.492173972103567e-09,0.18207726213322925,2.8118936182400005e-06,4.052821651200001,10.453349101285715,4.00012585056,18.506296603045715,0.015443408942421853,18.521740011988136,1.0172461841191044e-19,101.72461841191044
